code_module,code_presentation,id_student,num_of_prev_attempts,final_result
AAA,2013J,11391,0,Pass
AAA,2013J,28400,0,Pass
AAA,2013J,30268,0,Withdrawn
AAA,2013J,31604,0,Pass
AAA,2013J,32885,0,Pass
AAA,2013J,38053,0,Pass
AAA,2013J,45462,0,Pass
AAA,2013J,45642,0,Pass
AAA,2013J,52130,0,Pass
AAA,2013J,53025,0,Pass
AAA,2013J,57506,0,Pass
AAA,2013J,58873,0,Pass
AAA,2013J,59185,0,Pass
AAA,2013J,62155,0,Pass
AAA,2013J,63400,0,Pass
AAA,2013J,65002,0,Withdrawn
AAA,2013J,70464,0,Pass
AAA,2013J,71361,0,Pass
AAA,2013J,74372,0,Fail
AAA,2013J,75091,0,Pass
AAA,2013J,77367,0,Pass
AAA,2013J,91265,0,Pass
AAA,2013J,94961,0,Withdrawn
AAA,2013J,98094,0,Pass
AAA,2013J,100893,0,Pass
AAA,2013J,101781,0,Pass
AAA,2013J,102806,0,Pass
AAA,2013J,102952,0,Pass
AAA,2013J,104476,0,Pass
AAA,2013J,106247,0,Withdrawn
AAA,2013J,106577,0,Pass
AAA,2013J,110175,0,Pass
AAA,2013J,111717,0,Pass
AAA,2013J,113295,0,Pass
AAA,2013J,114017,0,Pass
AAA,2013J,114999,0,Pass
AAA,2013J,116541,0,Pass
AAA,2013J,116692,0,Pass
AAA,2013J,118983,0,Pass
AAA,2013J,123044,0,Pass
AAA,2013J,127582,0,Pass
AAA,2013J,129955,0,Withdrawn
AAA,2013J,132976,0,Pass
AAA,2013J,134143,0,Distinction
AAA,2013J,135335,0,Withdrawn
AAA,2013J,135400,0,Withdrawn
AAA,2013J,137873,0,Pass
AAA,2013J,141355,0,Pass
AAA,2013J,141377,0,Withdrawn
AAA,2013J,142326,0,Pass
AAA,2013J,144801,0,Pass
AAA,2013J,145130,0,Pass
AAA,2013J,146188,0,Fail
AAA,2013J,147756,0,Fail
AAA,2013J,147793,0,Withdrawn
AAA,2013J,148993,0,Withdrawn
AAA,2013J,151358,0,Pass
AAA,2013J,155550,0,Pass
AAA,2013J,155854,0,Pass
AAA,2013J,155984,0,Withdrawn
AAA,2013J,157568,0,Pass
AAA,2013J,159954,0,Withdrawn
AAA,2013J,164259,0,Pass
